no,null,null,null,null,null,0,0,0,0
I5 1,22/11/2021,DLI,BMB,13:00,15:20,1,180,2500,0
AI 1,22/11/2021,DLI,BMB,18:00,20:30,3,180,2500,0
6E 1,22/11/2021,DLI,BMB,09:00,11:25,8,180,2500,0
SG 1,22/11/2021,DLI,BMB,11:00,13:15,4,180,2500,0
VTI 1,22/11/2021,DLI,BMB,22:00,00:10,6,180,2500,0
I5 2,22/11/2021,DLI,HYD,01:00,03:40,1,180,2500,0
AI 2,22/11/2021,DLI,HYD,00:00,02:05,3,180,2500,0
6E 2,22/11/2021,DLI,HYD,16:00,18:45,8,180,2500,0
SG 2,22/11/2021,DLI,HYD,20:00,22:15,4,180,2500,0
VTI 2,22/11/2021,DLI,HYD,07:00,09:10,6,180,2500,0
I5 3,22/11/2021,DLI,CHN,13:00,17:40,1,180,3500,0
AI 3,22/11/2021,DLI,CHN,20:00,00:05,3,180,3500,0
6E 3,22/11/2021,DLI,CHN,09:00,13:45,8,180,3500,0
SG 3,22/11/2021,DLI,CHN,10:00,14:15,4,180,3500,0
VTI 3,22/11/2021,DLI,CHN,06:00,10:10,6,180,3500,0
I5 1,23/11/2021,DLI,BMB,13:00,15:20,1,180,2500,0
AI 1,23/11/2021,DLI,BMB,18:00,20:30,3,180,2500,0
6E 1,23/11/2021,DLI,BMB,09:00,11:25,8,180,2500,0
SG 1,23/11/2021,DLI,BMB,11:00,13:15,4,180,2500,0
VTI 1,23/11/2021,DLI,BMB,22:00,00:10,6,180,2500,0
I5 2,23/11/2021,DLI,HYD,01:00,03:40,1,180,2500,0
AI 2,23/11/2021,DLI,HYD,00:00,02:05,3,180,2500,0
6E 2,23/11/2021,DLI,HYD,16:00,18:45,8,180,2500,0
SG 2,23/11/2021,DLI,HYD,20:00,22:15,4,180,2500,0
VTI 2,23/11/2021,DLI,HYD,07:00,09:10,6,180,2500,0
I5 3,23/11/2021,DLI,CHN,13:00,17:40,1,180,3500,0
AI 3,23/11/2021,DLI,CHN,20:00,00:05,3,180,3500,0
6E 3,23/11/2021,DLI,CHN,09:00,13:45,8,180,3500,0
SG 3,23/11/2021,DLI,CHN,10:00,14:15,4,180,3500,0
VTI 3,23/11/2021,DLI,CHN,06:00,10:10,6,180,3500,0
I5 1,24/11/2021,DLI,BMB,13:00,15:20,1,180,2500,0
AI 1,24/11/2021,DLI,BMB,18:00,20:30,3,180,2500,0
6E 1,24/11/2021,DLI,BMB,09:00,11:25,8,180,2500,0
SG 1,24/11/2021,DLI,BMB,11:00,13:15,4,180,2500,0
VTI 1,24/11/2021,DLI,BMB,22:00,00:10,6,180,2500,0
I5 2,24/11/2021,DLI,HYD,01:00,03:40,1,180,2500,0
AI 2,24/11/2021,DLI,HYD,00:00,02:05,3,180,2500,0
6E 2,24/11/2021,DLI,HYD,16:00,18:45,8,180,2500,0
SG 2,24/11/2021,DLI,HYD,20:00,22:15,4,180,2500,0
VTI 2,24/11/2021,DLI,HYD,07:00,09:10,6,180,2500,0
I5 3,24/11/2021,DLI,CHN,13:00,17:40,1,180,3500,0
AI 3,24/11/2021,DLI,CHN,20:00,00:05,3,180,3500,0
6E 3,24/11/2021,DLI,CHN,09:00,13:45,8,180,3500,0
SG 3,24/11/2021,DLI,CHN,10:00,14:15,4,180,3500,0
VTI 3,24/11/2021,DLI,CHN,06:00,10:10,6,180,3500,0
